,school_name,school_latitude,school_longitude,sap_ind,autonomous_ind,gifted_ind,ip_ind
151,COMMONWEALTH SECONDARY SCHOOL,1.31920395934804,103.745637393049,No,Yes,No,No
152,TANJONG KATONG GIRLS' SCHOOL,1.3082127462728799,103.895820094229,No,Yes,No,No
153,VICTORIA SCHOOL,1.30830803913152,103.92819753960698,No,Yes,Yes,Yes
154,WHITLEY SECONDARY SCHOOL,1.35505208480652,103.842552378136,No,No,No,No
155,YUHUA SECONDARY SCHOOL,1.3471862687696898,103.722687235839,No,No,No,No
156,YISHUN SECONDARY SCHOOL,1.4281332427609,103.828764316679,No,No,No,No
157,BENDEMEER SECONDARY SCHOOL,1.32461111308,103.86097028358499,No,No,No,No
158,FUCHUN SECONDARY SCHOOL,1.430704528838,103.77762574853901,No,No,No,No
159,ANG MO KIO SECONDARY SCHOOL,1.3673371017107299,103.84215497367201,No,No,No,No
160,BEDOK SOUTH SECONDARY SCHOOL,1.32513655159184,103.950989139261,No,No,No,No
161,CLEMENTI TOWN SECONDARY SCHOOL,1.31553912917703,103.762020598796,No,No,No,No
162,TEMASEK SECONDARY SCHOOL,1.31591673150617,103.947564112294,No,Yes,No,No
163,MAYFLOWER SECONDARY SCHOOL,1.36827266209724,103.835360726863,No,No,No,No
164,TAMPINES SECONDARY SCHOOL,1.34926094811198,103.94426370950701,No,No,No,No
165,BUKIT VIEW SECONDARY SCHOOL,1.34573305542943,103.75222659398399,No,No,No,No
166,WOODLANDS SECONDARY SCHOOL,1.4391252814135802,103.774586410437,No,No,No,No
167,BOWEN SECONDARY SCHOOL,1.3703599443621102,103.87765957767701,No,No,No,No
168,BUKIT BATOK SECONDARY SCHOOL,1.3484908562192899,103.740873704829,No,No,No,No
169,YISHUN TOWN SECONDARY SCHOOL,1.4323215671738703,103.83809422636101,No,Yes,No,No
170,HOUGANG SECONDARY SCHOOL,1.3776401933216598,103.88253396333799,No,No,No,No
171,NAN HUA HIGH SCHOOL,1.30809499133647,103.768561208485,Yes,Yes,No,No
172,HILLGROVE SECONDARY SCHOOL,1.35273576615915,103.75298648839899,No,No,No,No
173,XINMIN SECONDARY SCHOOL,1.37255884700005,103.88305161385,No,Yes,No,No
174,GREENRIDGE SECONDARY SCHOOL,1.3818643372281498,103.77382846691299,No,No,No,No
175,SPRINGFIELD SECONDARY SCHOOL,1.34957303526222,103.930354460965,No,No,No,No
176,CHUA CHU KANG SECONDARY SCHOOL,1.3831902926348898,103.75187829033301,No,No,No,No
177,DAMAI SECONDARY SCHOOL,1.33692798510395,103.927091653438,No,No,No,No
178,NORTHLAND SECONDARY SCHOOL,1.4358018336264098,103.840104687784,No,No,No,No
179,PEIRCE SECONDARY SCHOOL,1.36665944653815,103.83021606804,No,No,No,No
180,JURONGVILLE SECONDARY SCHOOL,1.3512886277028702,103.72890771008899,No,No,No,No
181,FAJAR SECONDARY SCHOOL,1.37560005371676,103.763998914082,No,No,No,No
182,KRANJI SECONDARY SCHOOL,1.3900510987131398,103.741190664845,No,No,No,No
183,JUYING SECONDARY SCHOOL,1.33872277341331,103.687310264575,No,No,No,No
184,WEST SPRING SECONDARY SCHOOL,1.38782283796462,103.76012882709999,No,No,No,No
185,JURONG WEST SECONDARY SCHOOL,1.33525634519939,103.702098132307,No,No,No,No
186,BEDOK GREEN SECONDARY SCHOOL,1.33451947288433,103.93502838334601,No,No,No,No
187,PUNGGOL SECONDARY SCHOOL,1.40205738421401,103.90921370648199,No,No,No,No
188,NORTH VISTA SECONDARY SCHOOL,1.38113128535803,103.899188813886,No,No,No,No
189,ADMIRALTY SECONDARY SCHOOL,1.44589068910993,103.80239819659599,No,No,No,No
190,PEI HWA SECONDARY SCHOOL,1.3903750499323602,103.878461745339,No,No,No,No
191,GREENDALE SECONDARY SCHOOL,1.3969601990952398,103.91170014084,No,No,No,No
192,EDGEFIELD SECONDARY SCHOOL,1.4005930998182698,103.90268738546499,No,No,No,No
193,MERIDIAN SECONDARY SCHOOL,1.36724684974879,103.94897248362899,No,No,No,No
194,LOYANG VIEW SECONDARY SCHOOL,1.3665841716724099,103.956944585725,No,No,No,No
195,DUNMAN HIGH SCHOOL,1.2999619028407299,103.882941559613,Yes,Yes,Yes,Yes
196,RIVER VALLEY HIGH SCHOOL,1.34407801177096,103.70902215589199,Yes,Yes,No,Yes
197,AHMAD IBRAHIM SECONDARY SCHOOL,1.4360597640899,103.829718678381,No,No,No,No
198,BROADRICK SECONDARY SCHOOL,1.30705051215339,103.886917440944,No,No,No,No
199,BUKIT MERAH SECONDARY SCHOOL,1.2857841375616499,103.813023119574,No,No,No,No
200,BUKIT PANJANG GOVT. HIGH SCHOOL,1.382108,103.738613,No,Yes,No,No
201,DUNMAN SECONDARY SCHOOL,1.36065258559016,103.95621332058201,No,Yes,No,No
202,JURONG SECONDARY SCHOOL,1.3300203222094398,103.72395296164801,No,No,No,No
203,NAVAL BASE SECONDARY SCHOOL,1.41937881620446,103.831050390247,No,No,No,No
204,OUTRAM SECONDARY SCHOOL,1.28651406161832,103.83712733566,No,No,No,No
