,search_add,retrieved_name,retrieved_latitude,retrieved_longitude
223,QUEENSTOWN SECONDARY SCHOOL,QUEENSTOWN SECONDARY SCHOOL,1.29352126774655,103.813190980055
224,SERANGOON GARDEN SECONDARY SCHOOL,SERANGOON GARDEN SECONDARY SCHOOL,1.3693257049095,103.869270301748
225,TANGLIN SECONDARY SCHOOL,TANGLIN SECONDARY SCHOOL,1.30970169234126,103.758158358303
226,TANJONG KATONG SECONDARY SCHOOL,TANJONG KATONG SECONDARY SCHOOL,1.30873515818477,103.897225195927
227,WOODLANDS RING SECONDARY SCHOOL,WOODLANDS RING SECONDARY SCHOOL,1.43648894729943,103.800148469692
228,ORCHID PARK SECONDARY SCHOOL,ORCHID PARK SECONDARY SCHOOL,1.4153203280701,103.837859241343
229,SEMBAWANG SECONDARY SCHOOL,SEMBAWANG SECONDARY SCHOOL,1.4453150213139,103.81684325839
230,SENG KANG SECONDARY SCHOOL,SENG KANG SECONDARY SCHOOL,1.38659683143748,103.898365036709
231,JUNYUAN SECONDARY SCHOOL,JUNYUAN SECONDARY SCHOOL,1.35361315263539,103.933886165824
232,EAST SPRING SECONDARY SCHOOL,EAST SPRING SECONDARY SCHOOL,1.3562250904733,103.960640700026
233,UNITY SECONDARY SCHOOL,UNITY SECONDARY SCHOOL,1.40002893292858,103.746025843729
234,NORTHBROOKS SECONDARY SCHOOL,NORTHBROOKS SECONDARY SCHOOL,1.42081285020657,103.845147332528
235,PASIR RIS CREST SECONDARY SCHOOL,PASIR RIS CREST SECONDARY SCHOOL,1.37284060102249,103.959728202919
236,FUHUA SECONDARY SCHOOL,FUHUA SECONDARY SCHOOL,1.3470140891376,103.72652089832
237,MARSILING SECONDARY SCHOOL,MARSILING SECONDARY SCHOOL,1.43664424797331,103.776008090182
238,WOODGROVE SECONDARY SCHOOL,WOODGROVE SECONDARY SCHOOL,1.42831828137014,103.79604758539
239,ZHENGHUA SECONDARY SCHOOL,ZHENGHUA SECONDARY SCHOOL,1.38836870373382,103.76552155794
240,REGENT SECONDARY SCHOOL,REGENT SECONDARY SCHOOL,1.39327908335685,103.751034411529
241,KENT RIDGE SECONDARY SCHOOL,KENT RIDGE SECONDARY SCHOOL,1.301227734261,103.764889617566
242,WESTWOOD SECONDARY SCHOOL,WESTWOOD SECONDARY SCHOOL,1.35373698510995,103.701772102139
