,school_name,school_latitude,school_longitude
292,CHIJ KATONG CONVENT,1.30644253773365,103.91714436743
293,MONTFORT SECONDARY SCHOOL,1.37396126564932,103.888928609198
294,SINGAPORE CHINESE GIRLS' SCHOOL,1.32104508236811,103.828192119961
295,SAINT ANDREW'S SECONDARY SCHOOL,1.33069360940704,103.86624913829
296,SAINT ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1.33466313498858,103.941977166932
297,SAINT GABRIEL'S SECONDARY SCHOOL,1.34638285704977,103.875808419206
298,CHIJ SAINT JOSEPH'S CONVENT,1.39175222232999,103.902464990999
299,SAINT JOSEPH'S INSTITUTION,1.32365313490153,103.828498974985
300,SAINT MARGARET'S SECONDARY SCHOOL,1.32006821363365,103.80995114006
301,SAINT PATRICK'S SCHOOL,1.3076784221225,103.91676217271
302,CHIJ SAINT THERESA'S CONVENT,1.27535177537429,103.822440701914
303,CHRIST CHURCH SECONDARY SCHOOL,1.42656781284688,103.793451108505
304,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),1.35096755912523,103.885120050588
305,YUYING SECONDARY SCHOOL,1.35713595302469,103.890194755287
306,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,1.35007562348323,103.855365171957
307,SAINT HILDA'S SECONDARY SCHOOL,1.34973922385383,103.937608032148
308,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),1.35096755912523,103.885120050588
309,HAI SING CATHOLIC SCHOOL,1.37434641160383,103.954957944437
310,ANGLO-CHINESE SCHOOL (BARKER ROAD),1.31961649151329,103.835772689988
311,ANGLICAN HIGH SCHOOL,1.33118040459547,103.941857925437
312,CATHOLIC HIGH SCHOOL,1.35472307471664,103.844874676599
313,CHUNG CHENG HIGH SCHOOL (MAIN),1.30509154753049,103.891653229373
314,CHUNG CHENG HIGH SCHOOL (YISHUN),1.41922603558804,103.837390783121
315,HOLY INNOCENTS' HIGH SCHOOL,1.37154508822264,103.896398814264
316,MARIS STELLA HIGH SCHOOL,1.34139473351042,103.877852484707
317,NAN CHIAU HIGH SCHOOL,1.38879582498401,103.890004423764
318,NANYANG GIRLS' HIGH SCHOOL,1.33058326666481,103.802420979943
319,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,1.37347687878919,103.834253269436
320,MARYMOUNT CONVENT SCHOOL,1.34036676987376,103.840021064426
321,MANJUSRI SECONDARY SCHOOL,1.32747111998672,103.9017199641
322,PRESBYTERIAN HIGH SCHOOL,1.38201194250224,103.843149382824
323,FAIRFIELD METHODIST SCHOOL (SECONDARY),1.30163374395825,103.784099647149
324,NGEE ANN SECONDARY SCHOOL,1.35447463979295,103.956746315713
325,SINGAPORE SPORTS SCHOOL,1.42641140556345,103.789444793951
326,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,1.30615665859434,103.770148255807
327,"SCHOOL OF THE ARTS, SINGAPORE",1.299462,103.848707
328,NORTHLIGHT SCHOOL,1.31910021581673,103.85575955353
329,ASSUMPTION PATHWAY SCHOOL,1.36967070432273,103.765959130581
330,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1.3129281060028,103.774011529322
331,CREST SECONDARY SCHOOL,1.34311980450764,103.742628105304
332,SPECTRA SECONDARY SCHOOL,1.43703750789961,103.804100467487
